tradingitemid,fromdate,todate,divadjfactor
2586910,2020-01-16 00:00:00.000000,2020-04-15 00:00:00.000000,0.9946659582
2586910,2020-04-16 00:00:00.000000,2020-07-15 00:00:00.000000,0.9962150966
2586910,2020-07-16 00:00:00.000000,2020-10-15 00:00:00.000000,0.9975383617
2586910,2020-10-16 00:00:00.000000,2021-01-18 00:00:00.000000,0.9988981183
2586910,2021-01-19 00:00:00.000000,,1.0000000000
2587024,2005-03-24 00:00:00.000000,,1.0000000000
2587089,2017-12-21 00:00:00.000000,2018-03-21 00:00:00.000000,0.9877126051
2587089,2018-03-22 00:00:00.000000,2018-06-20 00:00:00.000000,0.9882271281
2587089,2018-06-21 00:00:00.000000,2018-09-19 00:00:00.000000,0.9886533943
2587089,2018-09-20 00:00:00.000000,2018-12-19 00:00:00.000000,0.9890032775
2587089,2018-12-20 00:00:00.000000,2019-03-20 00:00:00.000000,0.9893835171
2587089,2019-03-21 00:00:00.000000,2019-06-19 00:00:00.000000,0.9897452882
2587089,2019-06-20 00:00:00.000000,2019-09-18 00:00:00.000000,0.9901316307
2587089,2019-09-19 00:00:00.000000,2019-12-18 00:00:00.000000,0.9905180738
2587089,2019-12-19 00:00:00.000000,2020-03-18 00:00:00.000000,0.9908942914
2587089,2020-03-19 00:00:00.000000,2020-06-10 00:00:00.000000,0.9936937441
2587089,2020-06-11 00:00:00.000000,2020-09-16 00:00:00.000000,0.9954665511
2587089,2020-09-17 00:00:00.000000,2020-12-16 00:00:00.000000,0.9970784860
2587089,2020-12-17 00:00:00.000000,2021-03-17 00:00:00.000000,0.9986260717
2587089,2021-03-18 00:00:00.000000,,1.0000000000
2587303,2000-01-01 00:00:00.000000,,1.0000000000
2587390,2017-10-11 00:00:00.000000,2018-01-09 00:00:00.000000,0.9892829775
2587390,2018-01-10 00:00:00.000000,2018-04-10 00:00:00.000000,0.9919844603
2587390,2018-04-11 00:00:00.000000,2018-07-23 00:00:00.000000,0.9948453487
2587390,2018-07-24 00:00:00.000000,2018-10-22 00:00:00.000000,0.9974936087
2587390,2018-10-23 00:00:00.000000,,1.0000000000
2587400,2017-11-08 00:00:00.000000,2018-02-06 00:00:00.000000,0.9738938894
2587400,2018-02-07 00:00:00.000000,2018-05-08 00:00:00.000000,0.9754283861
2587400,2018-05-09 00:00:00.000000,2018-08-07 00:00:00.000000,0.9772238733
2587400,2018-08-08 00:00:00.000000,2018-11-06 00:00:00.000000,0.9791125936
2587400,2018-11-07 00:00:00.000000,2019-02-12 00:00:00.000000,0.9816588296
2587400,2019-02-13 00:00:00.000000,2019-05-14 00:00:00.000000,0.9846265275
2587400,2019-05-15 00:00:00.000000,2019-08-06 00:00:00.000000,0.9880881896
2587400,2019-08-07 00:00:00.000000,2019-11-05 00:00:00.000000,0.9919956071
2587400,2019-11-06 00:00:00.000000,2020-02-11 00:00:00.000000,0.9956506283
2587400,2020-02-12 00:00:00.000000,2020-05-05 00:00:00.000000,0.9995036722
2587400,2020-05-06 00:00:00.000000,2020-08-04 00:00:00.000000,0.9996576790
2587400,2020-08-05 00:00:00.000000,2020-11-03 00:00:00.000000,0.9998044716
2587400,2020-11-04 00:00:00.000000,2021-02-16 00:00:00.000000,0.9999315115
2587400,2021-02-17 00:00:00.000000,,1.0000000000
2587460,2017-12-29 00:00:00.000000,2018-04-01 00:00:00.000000,0.9745244647
2587460,2018-04-02 00:00:00.000000,2018-07-01 00:00:00.000000,0.9766997752
2587460,2018-07-02 00:00:00.000000,2018-09-30 00:00:00.000000,0.9790587621
2587460,2018-10-01 00:00:00.000000,2018-12-27 00:00:00.000000,0.9811311827
2587460,2018-12-28 00:00:00.000000,2019-03-31 00:00:00.000000,0.9835575280
2587460,2019-04-01 00:00:00.000000,2019-06-30 00:00:00.000000,0.9855683916
2587460,2019-07-01 00:00:00.000000,2019-09-29 00:00:00.000000,0.9877377902
2587460,2019-09-30 00:00:00.000000,2019-12-29 00:00:00.000000,0.9898629050
2587460,2019-12-30 00:00:00.000000,2020-03-29 00:00:00.000000,0.9919531833
2587460,2020-03-30 00:00:00.000000,2020-06-28 00:00:00.000000,0.9944775941
2587460,2020-06-29 00:00:00.000000,2020-10-04 00:00:00.000000,0.9965658578
2587460,2020-10-05 00:00:00.000000,2021-01-03 00:00:00.000000,0.9983627310
2587460,2021-01-04 00:00:00.000000,,1.0000000000
2587580,2017-12-29 00:00:00.000000,2018-03-28 00:00:00.000000,0.9317767450
2587580,2018-03-29 00:00:00.000000,2018-06-28 00:00:00.000000,0.9383017923
2587580,2018-06-29 00:00:00.000000,2018-09-27 00:00:00.000000,0.9449637168
2587580,2018-09-28 00:00:00.000000,2018-12-30 00:00:00.000000,0.9511724140
2587580,2018-12-31 00:00:00.000000,2019-03-28 00:00:00.000000,0.9577281136
2587580,2019-03-29 00:00:00.000000,2019-06-27 00:00:00.000000,0.9636059223
2587580,2019-06-28 00:00:00.000000,2019-09-29 00:00:00.000000,0.9686332807
2587580,2019-09-30 00:00:00.000000,2019-12-30 00:00:00.000000,0.9737429424
2587580,2019-12-31 00:00:00.000000,2020-03-30 00:00:00.000000,0.9785665398
2587580,2020-03-31 00:00:00.000000,2020-06-29 00:00:00.000000,0.9849571006
2587580,2020-06-30 00:00:00.000000,2020-09-29 00:00:00.000000,0.9905197192
2587580,2020-09-30 00:00:00.000000,2020-12-30 00:00:00.000000,0.9950571745
2587580,2020-12-31 00:00:00.000000,,1.0000000000
2587662,2000-01-01 00:00:00.000000,,1.0000000000
2587782,2017-11-20 00:00:00.000000,2018-02-15 00:00:00.000000,0.9537380448
2587782,2018-02-16 00:00:00.000000,2018-05-20 00:00:00.000000,0.9583727627
2587782,2018-05-21 00:00:00.000000,2018-08-19 00:00:00.000000,0.9636703838
2587782,2018-08-20 00:00:00.000000,2018-11-18 00:00:00.000000,0.9684380789
2587782,2018-11-19 00:00:00.000000,2019-02-14 00:00:00.000000,0.9730176590
2587782,2019-02-15 00:00:00.000000,2019-05-19 00:00:00.000000,0.9781604585
2587782,2019-05-20 00:00:00.000000,2019-08-18 00:00:00.000000,0.9836787718
2587782,2019-08-19 00:00:00.000000,2019-11-17 00:00:00.000000,0.9894159418
2587782,2019-11-18 00:00:00.000000,2020-02-13 00:00:00.000000,0.9943609023
2587782,2020-02-14 00:00:00.000000,,1.0000000000
2587814,2017-12-14 00:00:00.000000,2018-03-13 00:00:00.000000,0.9478067046
2587814,2018-03-14 00:00:00.000000,2018-06-13 00:00:00.000000,0.9508955246
2587814,2018-06-14 00:00:00.000000,2018-09-12 00:00:00.000000,0.9542899515
2587814,2018-09-13 00:00:00.000000,2018-12-12 00:00:00.000000,0.9575150424
2587814,2018-12-13 00:00:00.000000,2019-03-13 00:00:00.000000,0.9611417883
2587814,2019-03-14 00:00:00.000000,2019-06-12 00:00:00.000000,0.9652565288
2587814,2019-06-13 00:00:00.000000,2019-09-11 00:00:00.000000,0.9701962227
2587814,2019-09-12 00:00:00.000000,2019-12-11 00:00:00.000000,0.9753723867
2587814,2019-12-12 00:00:00.000000,2020-03-11 00:00:00.000000,0.9808614468
2587814,2020-03-12 00:00:00.000000,2020-06-10 00:00:00.000000,0.9862805709
2587814,2020-06-11 00:00:00.000000,2020-09-16 00:00:00.000000,0.9908294540
2587814,2020-09-17 00:00:00.000000,2020-12-09 00:00:00.000000,0.9947453739
2587814,2020-12-10 00:00:00.000000,2021-03-10 00:00:00.000000,0.9974392646
2587814,2021-03-11 00:00:00.000000,,1.0000000000
2587935,2017-12-28 00:00:00.000000,2018-03-27 00:00:00.000000,0.9129870248
2587935,2018-03-28 00:00:00.000000,2018-06-27 00:00:00.000000,0.9197733506
2587935,2018-06-28 00:00:00.000000,2018-09-26 00:00:00.000000,0.9266777756
2587935,2018-09-27 00:00:00.000000,2018-12-27 00:00:00.000000,0.9337708647
2587935,2018-12-28 00:00:00.000000,2019-03-27 00:00:00.000000,0.9417497032
2587935,2019-03-28 00:00:00.000000,2019-06-26 00:00:00.000000,0.9481855015
2587935,2019-06-27 00:00:00.000000,2019-09-26 00:00:00.000000,0.9550608949
2587935,2019-09-27 00:00:00.000000,2019-12-29 00:00:00.000000,0.9612533405
2587935,2019-12-30 00:00:00.000000,2020-03-29 00:00:00.000000,0.9674658708
2587935,2020-03-30 00:00:00.000000,2020-06-28 00:00:00.000000,0.9744617276
2587935,2020-06-29 00:00:00.000000,2020-09-28 00:00:00.000000,0.9808866167
2587935,2020-09-29 00:00:00.000000,2020-12-29 00:00:00.000000,0.9873732336
2587935,2020-12-30 00:00:00.000000,2021-03-29 00:00:00.000000,0.9935560154
2587935,2021-03-30 00:00:00.000000,,1.0000000000
2587941,2000-01-01 00:00:00.000000,,1.0000000000
2588003,2001-01-26 00:00:00.000000,,1.0000000000
2588150,2017-11-13 00:00:00.000000,2018-02-12 00:00:00.000000,0.9507363390
2588150,2018-02-13 00:00:00.000000,2018-05-10 00:00:00.000000,0.9529239690
2588150,2018-05-11 00:00:00.000000,2018-08-12 00:00:00.000000,0.9555594211
2588150,2018-08-13 00:00:00.000000,2018-11-12 00:00:00.000000,0.9579526232
2588150,2018-11-13 00:00:00.000000,2019-02-19 00:00:00.000000,0.9606407194
2588150,2019-02-20 00:00:00.000000,2019-05-12 00:00:00.000000,0.9641149080
2588150,2019-05-13 00:00:00.000000,2019-09-02 00:00:00.000000,0.9682089522
2588150,2019-09-03 00:00:00.000000,2019-11-12 00:00:00.000000,0.9731956399
2588150,2019-11-13 00:00:00.000000,2020-02-12 00:00:00.000000,0.9788657893
2588150,2020-02-13 00:00:00.000000,2020-05-12 00:00:00.000000,0.9847954571
2588150,2020-05-13 00:00:00.000000,2020-08-12 00:00:00.000000,0.9899322441
2588150,2020-08-13 00:00:00.000000,2020-11-11 00:00:00.000000,0.9942968414
2588150,2020-11-12 00:00:00.000000,2021-02-10 00:00:00.000000,0.9975507348
2588150,2021-02-11 00:00:00.000000,,1.0000000000
2588182,2017-10-30 00:00:00.000000,2018-01-29 00:00:00.000000,0.9068209427
2588182,2018-01-30 00:00:00.000000,2018-04-26 00:00:00.000000,0.9145674048
2588182,2018-04-27 00:00:00.000000,2018-07-29 00:00:00.000000,0.9217721098
2588182,2018-07-30 00:00:00.000000,2018-10-29 00:00:00.000000,0.9290199365
2588182,2018-10-30 00:00:00.000000,2019-01-29 00:00:00.000000,0.9362083342
2588182,2019-01-30 00:00:00.000000,2019-04-28 00:00:00.000000,0.9439945345
2588182,2019-04-29 00:00:00.000000,2019-07-29 00:00:00.000000,0.9511820532
2588182,2019-07-30 00:00:00.000000,2019-10-29 00:00:00.000000,0.9579632486
2588182,2019-10-30 00:00:00.000000,2020-01-29 00:00:00.000000,0.9644825040
2588182,2020-01-30 00:00:00.000000,2020-04-28 00:00:00.000000,0.9707261726
2588182,2020-04-29 00:00:00.000000,2020-07-29 00:00:00.000000,0.9780640669
2588182,2020-07-30 00:00:00.000000,2020-10-28 00:00:00.000000,0.9849942244
2588182,2020-10-29 00:00:00.000000,2021-01-27 00:00:00.000000,0.9917823601
2588182,2021-01-28 00:00:00.000000,,1.0000000000
2588294,2017-11-29 00:00:00.000000,2018-03-01 00:00:00.000000,0.9338914207
2588294,2018-03-02 00:00:00.000000,2018-05-29 00:00:00.000000,0.9385812685
2588294,2018-05-30 00:00:00.000000,2018-08-29 00:00:00.000000,0.9431851007
2588294,2018-08-30 00:00:00.000000,2018-11-28 00:00:00.000000,0.9475185520
2588294,2018-11-29 00:00:00.000000,2019-02-26 00:00:00.000000,0.9524324024
2588294,2019-02-27 00:00:00.000000,2019-05-29 00:00:00.000000,0.9575207260
2588294,2019-05-30 00:00:00.000000,2019-08-28 00:00:00.000000,0.9625218788
2588294,2019-08-29 00:00:00.000000,2019-11-26 00:00:00.000000,0.9672442902
2588294,2019-11-27 00:00:00.000000,2020-02-27 00:00:00.000000,0.9715577235
2588294,2020-02-28 00:00:00.000000,2020-05-27 00:00:00.000000,0.9763542235
2588294,2020-05-28 00:00:00.000000,2020-08-26 00:00:00.000000,0.9817789718
2588294,2020-08-27 00:00:00.000000,2020-11-26 00:00:00.000000,0.9875122976
2588294,2020-11-27 00:00:00.000000,2021-03-02 00:00:00.000000,0.9926690198
2588294,2021-03-03 00:00:00.000000,,1.0000000000
2588568,2000-01-01 00:00:00.000000,,1.0000000000
2588654,2017-12-12 00:00:00.000000,2018-03-12 00:00:00.000000,0.9147986602
2588654,2018-03-13 00:00:00.000000,2018-06-11 00:00:00.000000,0.9225558612
2588654,2018-06-12 00:00:00.000000,2018-09-10 00:00:00.000000,0.9301892529
2588654,2018-09-11 00:00:00.000000,2018-12-10 00:00:00.000000,0.9366920849
2588654,2018-12-11 00:00:00.000000,2019-03-11 00:00:00.000000,0.9430269427
2588654,2019-03-12 00:00:00.000000,2019-06-10 00:00:00.000000,0.9492401031
2588654,2019-06-11 00:00:00.000000,2019-09-09 00:00:00.000000,0.9552164971
2588654,2019-09-10 00:00:00.000000,2019-12-09 00:00:00.000000,0.9612900911
2588654,2019-12-10 00:00:00.000000,2020-03-09 00:00:00.000000,0.9676810466
2588654,2020-03-10 00:00:00.000000,2020-06-08 00:00:00.000000,0.9735869972
2588654,2020-06-09 00:00:00.000000,2020-09-07 00:00:00.000000,0.9798682036
2588654,2020-09-08 00:00:00.000000,2020-12-07 00:00:00.000000,0.9860497465
2588654,2020-12-08 00:00:00.000000,2021-03-08 00:00:00.000000,0.9925866020
2588654,2021-03-09 00:00:00.000000,,1.0000000000
2588872,2017-11-09 00:00:00.000000,2018-02-07 00:00:00.000000,0.8960994401
2588872,2018-02-08 00:00:00.000000,2018-05-08 00:00:00.000000,0.9048035236
2588872,2018-05-09 00:00:00.000000,2018-08-08 00:00:00.000000,0.9132228270
2588872,2018-08-09 00:00:00.000000,2018-11-07 00:00:00.000000,0.9212757093
2588872,2018-11-08 00:00:00.000000,2019-02-06 00:00:00.000000,0.9295654585
2588872,2019-02-07 00:00:00.000000,2019-05-08 00:00:00.000000,0.9374952886
2588872,2019-05-09 00:00:00.000000,2019-08-07 00:00:00.000000,0.9450575550
2588872,2019-08-08 00:00:00.000000,2019-11-06 00:00:00.000000,0.9521664419
2588872,2019-11-07 00:00:00.000000,2020-02-06 00:00:00.000000,0.9594683318
2588872,2020-02-07 00:00:00.000000,2020-05-06 00:00:00.000000,0.9660820968
2588872,2020-05-07 00:00:00.000000,2020-08-06 00:00:00.000000,0.9747387464
2588872,2020-08-07 00:00:00.000000,2020-11-08 00:00:00.000000,0.9827972928
2588872,2020-11-09 00:00:00.000000,2021-02-08 00:00:00.000000,0.9908619412
2588872,2021-02-09 00:00:00.000000,,1.0000000000
2588913,2017-10-05 00:00:00.000000,2018-01-03 00:00:00.000000,0.9510307815
2588913,2018-01-04 00:00:00.000000,2018-04-04 00:00:00.000000,0.9543862329
2588913,2018-04-05 00:00:00.000000,2018-07-04 00:00:00.000000,0.9579691481
2588913,2018-07-05 00:00:00.000000,2018-10-03 00:00:00.000000,0.9614083644
2588913,2018-10-04 00:00:00.000000,2019-01-02 00:00:00.000000,0.9648781892
2588913,2019-01-03 00:00:00.000000,2019-04-03 00:00:00.000000,0.9688272131
2588913,2019-04-04 00:00:00.000000,2019-07-02 00:00:00.000000,0.9722568456
2588913,2019-07-03 00:00:00.000000,2019-10-02 00:00:00.000000,0.9752973409
2588913,2019-10-03 00:00:00.000000,2020-01-01 00:00:00.000000,0.9790274651
2588913,2020-01-02 00:00:00.000000,2020-04-01 00:00:00.000000,0.9824208377
2588913,2020-04-02 00:00:00.000000,2020-06-30 00:00:00.000000,0.9878780262
2588913,2020-07-01 00:00:00.000000,2020-10-07 00:00:00.000000,0.9923603260
2588913,2020-10-08 00:00:00.000000,2021-01-06 00:00:00.000000,0.9965052016
2588913,2021-01-07 00:00:00.000000,,1.0000000000
2589073,2017-12-07 00:00:00.000000,2018-03-13 00:00:00.000000,0.9047262874
2589073,2018-03-14 00:00:00.000000,2018-06-12 00:00:00.000000,0.9099314728
2589073,2018-06-13 00:00:00.000000,2018-09-13 00:00:00.000000,0.9152998000
2589073,2018-09-14 00:00:00.000000,2018-12-10 00:00:00.000000,0.9208947558
2589073,2018-12-11 00:00:00.000000,2019-03-13 00:00:00.000000,0.9288185612
2589073,2019-03-14 00:00:00.000000,2019-06-12 00:00:00.000000,0.9356559649
2589073,2019-06-13 00:00:00.000000,2019-09-15 00:00:00.000000,0.9413438431
2589073,2019-09-16 00:00:00.000000,2019-12-10 00:00:00.000000,0.9466313634
2589073,2019-12-11 00:00:00.000000,2020-03-12 00:00:00.000000,0.9525990946
2589073,2020-03-13 00:00:00.000000,2020-06-11 00:00:00.000000,0.9646240141
2589073,2020-06-12 00:00:00.000000,2020-09-15 00:00:00.000000,0.9744891367
2589073,2020-09-16 00:00:00.000000,2020-12-10 00:00:00.000000,0.9853887006
2589073,2020-12-11 00:00:00.000000,2021-03-14 00:00:00.000000,0.9933938893
2589073,2021-03-15 00:00:00.000000,,1.0000000000
2589547,2017-11-17 00:00:00.000000,2018-02-15 00:00:00.000000,0.9435649510
2589547,2018-02-16 00:00:00.000000,2018-05-17 00:00:00.000000,0.9472530263
2589547,2018-05-18 00:00:00.000000,2018-08-16 00:00:00.000000,0.9514052485
2589547,2018-08-17 00:00:00.000000,2018-11-15 00:00:00.000000,0.9555877334
2589547,2018-11-16 00:00:00.000000,2019-02-14 00:00:00.000000,0.9598946077
2589547,2019-02-15 00:00:00.000000,2019-05-16 00:00:00.000000,0.9643566396
2589547,2019-05-17 00:00:00.000000,2019-08-15 00:00:00.000000,0.9693539535
2589547,2019-08-16 00:00:00.000000,2019-11-14 00:00:00.000000,0.9738852329
2589547,2019-11-15 00:00:00.000000,2020-02-12 00:00:00.000000,0.9784291976
2589547,2020-02-13 00:00:00.000000,2020-05-14 00:00:00.000000,0.9827385544
2589547,2020-05-15 00:00:00.000000,2020-08-13 00:00:00.000000,0.9876751671
2589547,2020-08-14 00:00:00.000000,2020-11-12 00:00:00.000000,0.9917297422
2589547,2020-11-13 00:00:00.000000,2021-02-10 00:00:00.000000,0.9958596029
2589547,2021-02-11 00:00:00.000000,,1.0000000000
2589719,2017-12-05 00:00:00.000000,2018-03-14 00:00:00.000000,0.9772154156
2589719,2018-03-15 00:00:00.000000,2018-06-13 00:00:00.000000,0.9789680438
2589719,2018-06-14 00:00:00.000000,2018-09-12 00:00:00.000000,0.9807908331
2589719,2018-09-13 00:00:00.000000,2018-12-05 00:00:00.000000,0.9825158421
2589719,2018-12-06 00:00:00.000000,2019-03-13 00:00:00.000000,0.9844278830
2589719,2019-03-14 00:00:00.000000,2019-06-12 00:00:00.000000,0.9861304142
2589719,2019-06-13 00:00:00.000000,2019-09-12 00:00:00.000000,0.9877474001
2589719,2019-09-13 00:00:00.000000,2019-12-04 00:00:00.000000,0.9892893787
2589719,2019-12-05 00:00:00.000000,2020-03-11 00:00:00.000000,0.9907237253
2589719,2020-03-12 00:00:00.000000,2020-06-10 00:00:00.000000,0.9930375993
2589719,2020-06-11 00:00:00.000000,2020-09-10 00:00:00.000000,0.9949602278
2589719,2020-09-11 00:00:00.000000,2020-12-03 00:00:00.000000,0.9967890120
2589719,2020-12-04 00:00:00.000000,2021-03-11 00:00:00.000000,0.9983594455
2589719,2021-03-12 00:00:00.000000,,1.0000000000
2589769,2017-11-16 00:00:00.000000,2018-02-13 00:00:00.000000,0.9106543202
2589769,2018-02-14 00:00:00.000000,2018-05-15 00:00:00.000000,0.9175382035
2589769,2018-05-16 00:00:00.000000,2018-08-15 00:00:00.000000,0.9246201263
2589769,2018-08-16 00:00:00.000000,2018-11-14 00:00:00.000000,0.9309133023
2589769,2018-11-15 00:00:00.000000,2019-02-13 00:00:00.000000,0.9374135433
2589769,2019-02-14 00:00:00.000000,2019-05-15 00:00:00.000000,0.9446617150
2589769,2019-05-16 00:00:00.000000,2019-08-13 00:00:00.000000,0.9527947128
2589769,2019-08-14 00:00:00.000000,2019-11-13 00:00:00.000000,0.9595448586
2589769,2019-11-14 00:00:00.000000,2020-02-12 00:00:00.000000,0.9659207180
2589769,2020-02-13 00:00:00.000000,2020-05-14 00:00:00.000000,0.9727772981
2589769,2020-05-15 00:00:00.000000,2020-08-13 00:00:00.000000,0.9793617962
2589769,2020-08-14 00:00:00.000000,2020-11-12 00:00:00.000000,0.9859220360
2589769,2020-11-13 00:00:00.000000,2021-02-10 00:00:00.000000,0.9926193072
2589769,2021-02-11 00:00:00.000000,,1.0000000000
2589819,2017-12-15 00:00:00.000000,2018-03-15 00:00:00.000000,0.9683187697
2589819,2018-03-16 00:00:00.000000,2018-06-14 00:00:00.000000,0.9703237890
2589819,2018-06-15 00:00:00.000000,2018-09-13 00:00:00.000000,0.9727770645
2589819,2018-09-14 00:00:00.000000,2018-12-13 00:00:00.000000,0.9750893704
2589819,2018-12-14 00:00:00.000000,2019-03-17 00:00:00.000000,0.9777418903
2589819,2019-03-18 00:00:00.000000,2019-06-17 00:00:00.000000,0.9801043300
2589819,2019-06-18 00:00:00.000000,2019-09-15 00:00:00.000000,0.9825212271
2589819,2019-09-16 00:00:00.000000,2019-12-15 00:00:00.000000,0.9851215903
2589819,2019-12-16 00:00:00.000000,2020-03-15 00:00:00.000000,0.9874256449
2589819,2020-03-16 00:00:00.000000,2020-06-14 00:00:00.000000,0.9905366268
2589819,2020-06-15 00:00:00.000000,2020-09-13 00:00:00.000000,0.9931499041
2589819,2020-09-14 00:00:00.000000,2020-12-13 00:00:00.000000,0.9955363658
2589819,2020-12-14 00:00:00.000000,2021-03-21 00:00:00.000000,0.9977449456
2589819,2021-03-22 00:00:00.000000,,1.0000000000
2589895,2017-12-12 00:00:00.000000,2018-03-12 00:00:00.000000,0.9715931047
2589895,2018-03-13 00:00:00.000000,2018-06-11 00:00:00.000000,0.9757289514
2589895,2018-06-12 00:00:00.000000,2018-09-10 00:00:00.000000,0.9791439344
2589895,2018-09-11 00:00:00.000000,2018-12-10 00:00:00.000000,0.9830337482
