tradingitemid|companyname|city|state|isocountry3|webpage
2664274|Weyerhaeuser Company|Seattle|Washington|USA|www.weyerhaeuser.com
2664300|Whirlpool Corporation|Benton Harbor|Michigan|USA|www.whirlpoolcorp.com
2664436|The Williams Companies, Inc.|Tulsa|Oklahoma|USA|www.williams.com
2665162|Xcel Energy Inc.|Minneapolis|Minnesota|USA|www.xcelenergy.com
2665190|Xilinx, Inc.|San Jose|California|USA|www.xilinx.com
2665480|Yum! Brands, Inc.|Louisville|Kentucky|USA|www.yum.com
2665575|Zebra Technologies Corporation|Lincolnshire|Illinois|USA|www.zebra.com
2590635|Archer-Daniels-Midland Company|Chicago|Illinois|USA|www.adm.com
2591545|Atmos Energy Corporation|Dallas|Texas|USA|www.atmosenergy.com
2591749|Autodesk, Inc.|San Rafael|California|USA|www.autodesk.com
2591803|Automatic Data Processing, Inc.|Roseland|New Jersey|USA|www.adp.com
2591829|AutoZone, Inc.|Memphis|Tennessee|USA|www.autozone.com
2591859|AvalonBay Communities, Inc.|Arlington|Virginia|USA|www.avalonbay.com
2591945|Avery Dennison Corporation|Glendale|California|USA|www.averydennison.com
2592140|Truist Financial Corporation|Charlotte|North Carolina|USA|www.truist.com
2592681|Ball Corporation|Westminster|Colorado|USA|www.ball.com
2592914|Bank of America Corporation|Charlotte|North Carolina|USA|www.bankofamerica.com
2593346|C. R. Bard, Inc.|Murray Hill|New Jersey|USA|www.crbard.com
2593695|Baxter International Inc.|Deerfield|Illinois|USA|www.baxter.com
2593888|Becton, Dickinson and Company|Franklin Lakes|New Jersey|USA|www.bd.com
2594023|Amcor Flexibles North America Inc.|Neenah|Wisconsin|USA|
2594140|W. R. Berkley Corporation|Greenwich|Connecticut|USA|www.berkley.com
2594158|Berkshire Hathaway Inc.|Omaha|Nebraska|USA|www.berkshirehathaway.com
2594192|Best Buy Co., Inc.|Richfield|Minnesota|USA|investors.bestbuy.com/investor-relations/overview/default.aspx
2594417|Bio-Rad Laboratories, Inc.|Hercules|California|USA|www.bio-rad.com
2594723|BlackRock, Inc.|New York|New York|USA|www.blackrock.com
2594884|The Boeing Company|Chicago|Illinois|USA|www.boeing.com
2595046|BorgWarner Inc.|Auburn Hills|Michigan|USA|www.borgwarner.com
2595162|Boston Properties, Inc.|Boston|Massachusetts|USA|www.bostonproperties.com
2595170|Boston Scientific Corporation|Marlborough|Massachusetts|USA|www.bostonscientific.com
2595573|Bristol-Myers Squibb Company|New York|New York|USA|www.bms.com
2595748|Brown-Forman Corporation|Louisville|Kentucky|USA|www.brown-forman.com
2596492|C.H. Robinson Worldwide, Inc.|Eden Prairie|Minnesota|USA|www.chrobinson.com
2596502|Cigna Corporation|Bloomfield|Connecticut|USA|www.cigna.com
2596570|CMS Energy Corporation|Jackson|Michigan|USA|www.cmsenergy.com
2596835|CSX Corporation|Jacksonville|Florida|USA|www.csx.com
2596903|CVS Health Corporation|Woonsocket|Rhode Island|USA|www.cvshealth.com
2597012|Cabot Oil & Gas Corporation|Houston|Texas|USA|www.cabotog.com
2597036|Cadence Design Systems, Inc.|San Jose|California|USA|www.cadence.com
2597397|Campbell Soup Company|Camden|New Jersey|USA|www.campbellsoupcompany.com
2597991|Capital One Financial Corporation|McLean|Virginia|USA|www.capitalone.com
2598155|Cardinal Health, Inc.|Dublin|Ohio|USA|www.cardinalhealth.com
2598323|Carnival Corporation & plc|Miami|Florida|USA|www.carnivalcorp.com
2598619|Caterpillar Inc.|Deerfield|Illinois|USA|www.caterpillar.com
2598787|Celgene Corporation|Summit|New Jersey|USA|www.celgene.com
7372383|Centene Corporation|St. Louis|Missouri|USA|www.centene.com
2599340|Cerner Corporation|North Kansas City|Missouri|USA|www.cerner.com
2599793|Chesapeake Energy Corporation|Oklahoma City|Oklahoma|USA|www.chk.com
2599839|Chevron Corporation|San Ramon|California|USA|www.chevron.com
2600403|Church & Dwight Co., Inc.|Ewing|New Jersey|USA|www.churchdwight.com
2600477|Cincinnati Financial Corporation|Fairfield|Ohio|USA|www.cinfin.com
2600582|Cisco Systems, Inc.|San Jose|California|USA|www.cisco.com
2600608|Cintas Corporation|Cincinnati|Ohio|USA|www.cintas.com
2600796|Citrix Systems, Inc.|Fort Lauderdale|Florida|USA|www.citrix.com
2601047|The Clorox Company|Oakland|California|USA|www.thecloroxcompany.com
2601201|The Coca-Cola Company|Atlanta|Georgia|USA|www.coca-colacompany.com
2601274|Cognizant Technology Solutions Corporation|Teaneck|New Jersey|USA|www.cognizant.com
2601341|Colgate-Palmolive Company|New York|New York|USA|www.colgatepalmolive.com
2601563|Comcast Corporation|Philadelphia|Pennsylvania|USA|corporate.comcast.com
2601589|Comerica Incorporated|Dallas|Texas|USA|www.comerica.com
2602239|Conagra Brands, Inc.|Chicago|Illinois|USA|www.conagrabrands.com
2602648|Consolidated Edison, Inc.|New York|New York|USA|www.conedison.com
2602822|Constellation Brands, Inc.|Victor|New York|USA|www.cbrands.com
2603093|The Cooper Companies, Inc.|San Ramon|California|USA|www.coopercos.com
2603117|Copart, Inc.|Dallas|Texas|USA|www.copart.com
2603263|Corning Incorporated|Corning|New York|USA|www.corning.com
2603626|Costco Wholesale Corporation|Issaquah|Washington|USA|www.costco.com
2604195|Cummins Inc.|Columbus|Indiana|USA|www.cummins.com
2604698|D.R. Horton, Inc.|Arlington|Texas|USA|www.drhorton.com
2604722|DTE Energy Company|Detroit|Michigan|USA|newlook.dteenergy.com
2604878|Danaher Corporation|Washington|District Of Columbia|USA|www.danaher.com
2604928|Darden Restaurants, Inc.|Orlando|Florida|USA|www.darden.com
2605123|DaVita Inc.|Denver|Colorado|USA|www.davita.com
2605336|Deere & Company|Moline|Illinois|USA|www.deere.com
2605788|Devon Energy Corporation|Oklahoma City|Oklahoma|USA|www.devonenergy.com
2606225|The Walt Disney Company|Burbank|California|USA|www.thewaltdisneycompany.com
41854195|Dollar Tree, Inc.|Chesapeake|Virginia|USA|www.dollartree.com
2606473|Dominion Energy, Inc.|Richmond|Virginia|USA|www.dominionenergy.com
2606599|Dover Corporation|Downers Grove|Illinois|USA|www.dovercorporation.com
2607489|Duke Realty Corporation|Indianapolis|Indiana|USA|www.dukerealty.com
2607936|EOG Resources, Inc.|Houston|Texas|USA|www.eogresources.com
2608300|Eastman Chemical Company|Kingsport|Tennessee|USA|www.eastman.com
2608344|eBay Inc.|San Jose|California|USA|www.ebayinc.com
40272951|DISH Network Corporation|Englewood|Colorado|USA|www.dish.com
2608411|Ecolab Inc.|Saint Paul|Minnesota|USA|www.ecolab.com
2608519|Edison International|Rosemead|California|USA|www.edison.com
2608553|Edwards Lifesciences Corporation|Irvine|California|USA|www.edwards.com
2609044|Emerson Electric Co.|Saint Louis|Missouri|USA|www.emerson.com
2609585|Entergy Corporation|New Orleans|Louisiana|USA|www.entergy.com
2609989|Equifax Inc.|Atlanta|Georgia|USA|www.equifax.com
52979343|EQT Corporation|Pittsburgh|Pennsylvania|USA|www.eqt.com
2610085|Equity Residential|Chicago|Illinois|USA|www.equityapartments.com
2610227|Essex Property Trust, Inc.|San Mateo|California|USA|www.essexapartmenthomes.com
2610551|Exelon Corporation|Chicago|Illinois|USA|www.exeloncorp.com
2610628|Expeditors International of Washington, Inc.|Seattle|Washington|USA|www.expeditors.com
2610695|Exxon Mobil Corporation|Irving|Texas|USA|corporate.exxonmobil.com
2610781|FLIR Systems, Inc.|Wilsonville|Oregon|USA|www.flir.com
2610791|FMC Corporation|Philadelphia|Pennsylvania|USA|www.fmc.com
2611182|Fastenal Company|Winona|Minnesota|USA|www.fastenal.com
2611292|Federal Realty Investment Trust|North Bethesda|Maryland|USA|www.federalrealty.com
34827088|Macy's, Inc.|New York|New York|USA|www.macysinc.com
2611328|FedEx Corporation|Memphis|Tennessee|USA|www.fedex.com
2611374|F5 Networks, Inc.|Seattle|Washington|USA|www.f5.com
2611490|Fifth Third Bancorp|Cincinnati|Ohio|USA|www.53.com
2612674|Fiserv, Inc.|Brookfield|Wisconsin|USA|www.fiserv.com
2612708|FirstEnergy Corp.|Akron|Ohio|USA|www.firstenergycorp.com
2613014|Fluor Corporation|Irving|Texas|USA|www.fluor.com
2613114|Foot Locker, Inc.|New York|New York|USA|www.footlocker-inc.com
2613214|Ford Motor Company|Dearborn|Michigan|USA|www.ford.com
2613576|Franklin Resources, Inc.|San Mateo|California|USA|www.franklinresources.com
2613632|Freeport-McMoRan Inc.|Phoenix|Arizona|USA|fcx.com
2614294|Arthur J. Gallagher & Co.|Rolling Meadows|Illinois|USA|www.ajg.com
2614358|The Gap, Inc.|San Francisco|California|USA|www.gapinc.com
2614404|Gartner, Inc.|Stamford|Connecticut|USA|www.gartner.com
2614630|General Dynamics Corporation|Reston|Virginia|USA|www.gd.com
2614632|General Electric Company|Boston|Massachusetts|USA|www.ge.com
2614666|General Mills, Inc.|Minneapolis|Minnesota|USA|www.generalmills.com
2614960|Genuine Parts Company|Atlanta|Georgia|USA|www.genpt.com
2615242|Gilead Sciences, Inc.|Foster City|California|USA|www.gilead.com
2615579|Global Payments Inc.|Atlanta|Georgia|USA|www.globalpaymentsinc.com
2615898|The Goldman Sachs Group, Inc.|New York|New York|USA|www.goldmansachs.com
2615990|The Goodyear Tire & Rubber Company|Akron|Ohio|USA|www.goodyear.com
2616073|W.W. Grainger, Inc.|Lake Forest|Illinois|USA|www.grainger.com
2617365|Halliburton Company|Houston|Texas|USA|www.halliburton.com
2617677|Harley-Davidson, Inc.|Milwaukee|Wisconsin|USA|www.harley-davidson.com
2617727|L3Harris Technologies, Inc.|Melbourne|Florida|USA|www.l3harris.com
2617773|The Hartford Financial Services Group, Inc.|Hartford|Connecticut|USA|www.thehartford.com
2617819|Hasbro, Inc.|Pawtucket|Rhode Island|USA|www.hasbro.com
36844550|Healthpeak Properties, Inc.|Denver|Colorado|USA|www.healthpeak.com
2618261|Helmerich & Payne, Inc.|Tulsa|Oklahoma|USA|www.hpinc.com
2618314|Jack Henry & Associates, Inc.|Monett|Missouri|USA|www.jackhenry.com
2618396|The Hershey Company|Hershey|Pennsylvania|USA|www.thehersheycompany.com
2618746|Hologic, Inc.|Marlborough|Massachusetts|USA|www.hologic.com
2618800|The Home Depot, Inc.|Atlanta|Georgia|USA|www.homedepot.com
2618950|Honeywell International Inc.|Charlotte|North Carolina|USA|www.honeywell.com
2619034|Hormel Foods Corporation|Austin|Minnesota|USA|www.hormelfoods.com
2619070|Host Hotels & Resorts, Inc.|Bethesda|Maryland|USA|www.hosthotels.com
2619295|Humana Inc.|Louisville|Kentucky|USA|www.humana.com
2619340|J.B. Hunt Transport Services, Inc.|Lowell|Arkansas|USA|www.jbhunt.com
2619378|Huntington Bancshares Incorporated|Columbus|Ohio|USA|www.huntington.com
2620068|IDEX Corporation|Northbrook|Illinois|USA|www.idexcorp.com
2620078|IDEXX Laboratories, Inc.|Westbrook|Maine|USA|www.idexx.com
2620170|Illinois Tool Works Inc.|Glenview|Illinois|USA|www.itw.com
2620172|Illumina, Inc.|San Diego|California|USA|www.illumina.com
2620499|Incyte Corporation|Wilmington|Delaware|USA|www.incyte.com
2620905|Nektar Therapeutics|San Francisco|California|USA|www.nektar.com
2621295|Intel Corporation|Santa Clara|California|USA|www.intel.com
2621697|International Business Machines Corporation|Armonk|New York|USA|www.ibm.com
2621779|International Flavors & Fragrances Inc.|New York|New York|USA|www.iff.com
2621951|International Paper Company|Memphis|Tennessee|USA|www.internationalpaper.com
2622146|The Interpublic Group of Companies, Inc.|New York|New York|USA|www.interpublic.com
2622316|Intuit Inc.|Mountain View|California|USA|www.intuit.com
2622326|Intuitive Surgical, Inc.|Sunnyvale|California|USA|www.intuitive.com
2622876|JPMorgan Chase & Co.|New York|New York|USA|www.jpmorganchase.com
2622922|Jacobs Engineering Group Inc.|Dallas|Texas|USA|www.jacobs.com
2623227|Johnson & Johnson|New Brunswick|New Jersey|USA|www.jnj.com
2623375|Juniper Networks, Inc.|Sunnyvale|California|USA|www.juniper.net
2623439|KLA Corporation|Milpitas|California|USA|www.kla.com
2623613|Kansas City Southern|Kansas City|Missouri|USA|www.kcsouthern.com
2623717|Kellogg Company|Battle Creek|Michigan|USA|www.kelloggcompany.com
2623912|KeyCorp|Cleveland|Ohio|USA|www.key.com
2624004|Kimberly-Clark Corporation|Dallas|Texas|USA|www.kimberly-clark.com
2624008|Kimco Realty Corporation|Jericho|New York|USA|www.kimcorealty.com
2624370|The Kroger Co.|Cincinnati|Ohio|USA|www.thekrogerco.com
2624698|Laboratory Corporation of America Holdings|Burlington|North Carolina|USA|www.labcorp.com
2625662|Lam Research Corporation|Fremont|California|USA|www.lamresearch.com
2625933|The Estée Lauder Companies Inc.|New York|New York|USA|www.elcompanies.com
2626140|Leggett & Platt, Incorporated|Carthage|Missouri|USA|www.leggett.com
2626233|Lennar Corporation|Miami|Florida|USA|www.lennar.com
2626277|Jefferies Financial Group Inc.|New York|New York|USA|www.jefferies.com
2626794|Eli Lilly and Company|Indianapolis|Indiana|USA|www.lilly.com
2626848|Lincoln National Corporation|Radnor|Pennsylvania|USA|www.lfg.com
2627050|Lockheed Martin Corporation|Bethesda|Maryland|USA|www.lockheedmartin.com
2627079|Loews Corporation|New York|New York|USA|www.loews.com
2627356|Lowe's Companies, Inc.|Mooresville|North Carolina|USA|www.lowes.com
2627536|M&T Bank Corporation|Buffalo|New York|USA|www.mtb.com
2627721|MGM Resorts International|Las Vegas|Nevada|USA|www.mgmresorts.com
2627939|The Macerich Company|Santa Monica|California|USA|www.macerich.com
2628431|Marathon Oil Corporation|Houston|Texas|USA|www.marathonoil.com
2628629|Marsh & McLennan Companies, Inc.|New York|New York|USA|www.mmc.com
2628645|Marriott International, Inc.|Bethesda|Maryland|USA|www.marriott.com
2628679|Martin Marietta Materials, Inc.|Raleigh|North Carolina|USA|www.martinmarietta.com
2628721|Masco Corporation|Livonia|Michigan|USA|masco.com
2628880|Mattel, Inc.|El Segundo|California|USA|www.mattel.com
2628920|Maxim Integrated Products, Inc.|San Jose|California|USA|www.maximintegrated.com
2629062|McCormick & Company, Incorporated|Hunt Valley|Maryland|USA|www.mccormickcorporation.com
2629084|McDonald's Corporation|Chicago|Illinois|USA|corporate.mcdonalds.com
2629128|McKesson Corporation|Irving|Texas|USA|www.mckesson.com
2629738|Merck & Co., Inc.|Kenilworth|New Jersey|USA|www.merck.com
2630181|MetLife, Inc.|New York|New York|USA|www.metlife.com
2630323|Mettler-Toledo International Inc.|Columbus|Ohio|USA|www.mt.com
2630413|Microsoft Corporation|Redmond|Washington|USA|www.microsoft.com
2630455|Microchip Technology Incorporated|Chandler|Arizona|USA|www.microchip.com
2630498|Micron Technology, Inc.|Boise|Idaho|USA|www.micron.com
2630544|Mid-America Apartment Communities, Inc.|Germantown|Tennessee|USA|www.maac.com
2631278|Mohawk Industries, Inc.|Calhoun|Georgia|USA|www.mohawkind.com
2665667|Zions Bancorporation, National Association|Salt Lake City|Utah|USA|www.zionsbancorporation.com
2666883|Royal Caribbean Group|Miami|Florida|USA|www.rclinvestor.com
2600566|CarMax, Inc.|Richmond|Virginia|USA|www.carmax.com
3182735|Cimarex Energy Co.|Denver|Colorado|USA|www.cimarex.com
